season,mean,median,std,min,max
Fall,0.1123294094696281,0.1128424711703655,0.037078557026737034,-0.48680418729782104,0.2301764339208603
Spring,0.0960795138564608,0.09491628780961037,0.02337759820637351,-0.024304930120706558,0.18810507563412923
Summer,0.12101963899498061,0.11688149979154769,0.0501528017624906,-0.6859018772038245,0.3310907632112503
Winter,0.09965447083653156,0.0997640750522317,0.024156251089880166,-0.01040470823364791,0.1862107589840889
