basin_id,basin_name,year,precip_mm_year,valid_terraclimate_area_km2
basin_037,Cuencas endorreicas en Jujuy (C),1996,80.23796791443851,
basin_038,Cuencas endorreicas en Jujuy (D),1996,86.43712717728468,
basin_039,Cuencas endorreicas en Jujuy (E),1996,99.65977249224406,
basin_040,Cuencas endorreicas en Jujuy (F),1996,113.98956940358383,
basin_041,Cuencas endorreicas en Salta (A),1996,99.30910711632745,
basin_042,Cuencas endorreicas en Salta (B),1996,70.22175732217573,
basin_043,Cuencas endorreicas en Salta (C),1996,28.694644696189492,
basin_044,Cuencas endorreicas en Salta (D),1996,98.41029900332225,
basin_045,Cuencas endorreicas en Salta (E),1996,135.0138888888889,
basin_046,Cuencas endorreicas en Salta (F),1996,37.68322618351843,
basin_047,Cuencas endorreicas en Salta (G),1996,141.45074349442382,
basin_048,Cuencas endorreicas en Salta (H),1996,66.76625659050967,
basin_049,Cuencas endorreicas en Salta y Catamarca (A),1996,55.75467464472698,
basin_050,Cuencas endorreicas en Salta y Catamarca (B),1996,74.23006477551932,
basin_051,Cuencas endorreicas en Salta y Catamarca (C),1996,117.36236462093862,
basin_001,Salar de Antofalla,1997,74.72402272882864,
basin_002,Salar de Arizaro,1997,65.90779519195333,
basin_003,Laguna Blanca,1997,147.3859696697887,
basin_004,Salar Carachi Pampa,1997,103.94109310565136,
basin_005,Salar de Cauchari,1997,101.99570514773077,
basin_006,Salar del Fraile,1997,71.10260166933053,
basin_007,Laguna de Guayatayoc,1997,172.44576652820393,
basin_008,Salar del Hombre Muerto,1997,118.12570982534885,
basin_009,Salar de Incahuasi en Catamarca,1997,93.437105455512,
basin_010,Salar de Incahuasi en Salta,1997,54.77624805459115,
basin_011,Salar de Jama,1997,81.50539556860993,
basin_012,Salar de Llullaillaco,1997,40.64361510791367,
basin_013,Salar de Olaroz,1997,101.51980517866906,
basin_014,Salar de Pastos Grandes,1997,116.0696013214875,
basin_015,Laguna Palar,1997,102.05361116730734,
basin_016,Salar de Pocitos o Quirón,1997,88.75641220677275,
basin_017,Laguna de Pozuelos,1997,183.37527132735397,
basin_018,Salar de Pozuelos,1997,96.79878460499661,
basin_019,Salar de Rincón,1997,80.21844660194176,
basin_020,Salar de Río Grande,1997,51.073435471306155,
basin_021,Salinas Grandes de Jujuy y Salta,1997,141.46154707802597,
basin_022,Laguna Socompa,1997,40.948095292899076,
basin_023,Laguna de las Salinas o Tres Quebradas,1997,124.70475359790663,
basin_024,Laguna Verde,1997,132.13814896306351,
basin_025,Laguna de Vilama,1997,98.68807838867716,
basin_026,Río Zapaleri,1997,87.75928317726833,
basin_027,Cuencas endorreicas en Catamarca (A),1997,135.37219602800403,
basin_028,Cuencas endorreicas en Catamarca (B),1997,135.82710883596698,
basin_029,Cuencas endorreicas en Catamarca (C),1997,185.03183023872685,
basin_030,Cuencas endorreicas en Catamarca (D),1997,142.55808018440774,
basin_031,Cuencas endorreicas en Catamarca (E),1997,107.68389079473982,
basin_032,Cuencas endorreicas en Catamarca (F),1997,83.76190476190477,
basin_033,Cuencas endorreicas en Catamarca (G),1997,92.34477787970125,
basin_034,Cuencas endorreicas en Catamarca (H),1997,61.60964115654607,
basin_035,Cuencas endorreicas en Jujuy (A),1997,92.80911680911682,
basin_036,Cuencas endorreicas en Jujuy (B),1997,172.6889806827846,
basin_037,Cuencas endorreicas en Jujuy (C),1997,83.67290552584673,
basin_038,Cuencas endorreicas en Jujuy (D),1997,86.96444762586495,
basin_039,Cuencas endorreicas en Jujuy (E),1997,98.9100310237849,
basin_040,Cuencas endorreicas en Jujuy (F),1997,114.09949184273867,
basin_041,Cuencas endorreicas en Salta (A),1997,103.46667657108898,
basin_042,Cuencas endorreicas en Salta (B),1997,77.04275059123161,
basin_043,Cuencas endorreicas en Salta (C),1997,40.35530381050463,
basin_044,Cuencas endorreicas en Salta (D),1997,101.14285714285715,
basin_045,Cuencas endorreicas en Salta (E),1997,135.43750000000003,
basin_046,Cuencas endorreicas en Salta (F),1997,44.794522835434584,
basin_047,Cuencas endorreicas en Salta (G),1997,139.35223048327143,
basin_048,Cuencas endorreicas en Salta (H),1997,74.90949033391915,
basin_049,Cuencas endorreicas en Salta y Catamarca (A),1997,79.94059194358371,
basin_050,Cuencas endorreicas en Salta y Catamarca (B),1997,82.47732856823767,
basin_051,Cuencas endorreicas en Salta y Catamarca (C),1997,121.74684115523468,
basin_001,Salar de Antofalla,1998,75.93222427603206,
basin_002,Salar de Arizaro,1998,60.950445470507894,
basin_003,Laguna Blanca,1998,108.2803354262709,
basin_004,Salar Carachi Pampa,1998,87.23822965673463,
basin_005,Salar de Cauchari,1998,84.46987511422475,
basin_006,Salar del Fraile,1998,84.53036760788495,
basin_007,Laguna de Guayatayoc,1998,130.4950308629995,
basin_008,Salar del Hombre Muerto,1998,91.5961752366085,
basin_009,Salar de Incahuasi en Catamarca,1998,97.07867632400821,
basin_010,Salar de Incahuasi en Salta,1998,42.91332455405241,
basin_011,Salar de Jama,1998,68.12438541600154,
basin_012,Salar de Llullaillaco,1998,54.90314748201438,
basin_013,Salar de Olaroz,1998,84.94080811092891,
basin_014,Salar de Pastos Grandes,1998,101.03834992633598,
basin_015,Laguna Palar,1998,82.05381347359904,
basin_016,Salar de Pocitos o Quirón,1998,73.77798399610553,
basin_017,Laguna de Pozuelos,1998,131.7479624851538,
basin_018,Salar de Pozuelos,1998,78.86900742741392,
basin_019,Salar de Rincón,1998,65.27757551240562,
basin_020,Salar de Río Grande,1998,64.40867307192936,
basin_021,Salinas Grandes de Jujuy y Salta,1998,124.30171861998329,
basin_022,Laguna Socompa,1998,48.2751755092646,
basin_023,Laguna de las Salinas o Tres Quebradas,1998,124.60021182480838,
basin_024,Laguna Verde,1998,136.59416693974993,
basin_025,Laguna de Vilama,1998,78.29940119760477,
basin_026,Río Zapaleri,1998,73.41298030351955,
basin_027,Cuencas endorreicas en Catamarca (A),1998,141.18045435062157,
basin_028,Cuencas endorreicas en Catamarca (B),1998,105.58557756510122,
basin_029,Cuencas endorreicas en Catamarca (C),1998,137.25729442970822,
basin_030,Cuencas endorreicas en Catamarca (D),1998,107.24392854202685,
basin_031,Cuencas endorreicas en Catamarca (E),1998,120.31606632361348,
basin_032,Cuencas endorreicas en Catamarca (F),1998,93.03401360544217,
basin_033,Cuencas endorreicas en Catamarca (G),1998,75.42091469007994,
basin_034,Cuencas endorreicas en Catamarca (H),1998,78.48677040891464,
basin_035,Cuencas endorreicas en Jujuy (A),1998,75.65527065527066,
basin_036,Cuencas endorreicas en Jujuy (B),1998,156.43178228647793,
basin_037,Cuencas endorreicas en Jujuy (C),1998,68.18270944741535,
basin_038,Cuencas endorreicas en Jujuy (D),1998,73.46575996182298,
basin_039,Cuencas endorreicas en Jujuy (E),1998,81.14581178903825,
basin_040,Cuencas endorreicas en Jujuy (F),1998,89.53182669162877,
basin_041,Cuencas endorreicas en Salta (A),1998,82.45443470509582,
basin_042,Cuencas endorreicas en Salta (B),1998,59.09095870474805,
basin_043,Cuencas endorreicas en Salta (C),1998,56.1725025746653,
basin_044,Cuencas endorreicas en Salta (D),1998,84.54318936877075,
basin_045,Cuencas endorreicas en Salta (E),1998,119.93055555555554,
basin_046,Cuencas endorreicas en Salta (F),1998,40.784336645236706,
basin_047,Cuencas endorreicas en Salta (G),1998,127.9200743494424,
basin_048,Cuencas endorreicas en Salta (H),1998,60.85940246045695,
basin_049,Cuencas endorreicas en Salta y Catamarca (A),1998,91.07265733518538,
basin_050,Cuencas endorreicas en Salta y Catamarca (B),1998,63.77529595711414,
basin_051,Cuencas endorreicas en Salta y Catamarca (C),1998,96.653880866426,
basin_001,Salar de Antofalla,1999,62.80060245087973,
basin_002,Salar de Arizaro,1999,70.88233508920247,
basin_003,Laguna Blanca,1999,139.33989027722734,
basin_004,Salar Carachi Pampa,1999,95.53615612476035,
basin_005,Salar de Cauchari,1999,110.81507767286016,
basin_006,Salar del Fraile,1999,53.28116675546084,
basin_007,Laguna de Guayatayoc,1999,178.2227182732252,
basin_008,Salar del Hombre Muerto,1999,121.19428236901162,
basin_009,Salar de Incahuasi en Catamarca,1999,71.07674928566684,
basin_010,Salar de Incahuasi en Salta,1999,58.60660840416615,
basin_011,Salar de Jama,1999,94.65046931868972,
basin_012,Salar de Llullaillaco,1999,35.78448741007194,
basin_013,Salar de Olaroz,1999,117.16614482381598,
basin_014,Salar de Pastos Grandes,1999,124.96548953078256,
basin_015,Laguna Palar,1999,124.74468945984223,
basin_016,Salar de Pocitos o Quirón,1999,94.34417500836703,
basin_017,Laguna de Pozuelos,1999,212.52160380063066,
basin_018,Salar de Pozuelos,1999,100.48160027008777,
basin_019,Salar de Rincón,1999,87.49029126213594,
basin_020,Salar de Río Grande,1999,44.37574655933523,
basin_021,Salinas Grandes de Jujuy y Salta,1999,151.2897170837867,
basin_022,Laguna Socompa,1999,39.444239843480254,
basin_023,Laguna de las Salinas o Tres Quebradas,1999,84.77428197620085,
basin_024,Laguna Verde,1999,92.33064931417066,
basin_025,Laguna de Vilama,1999,121.43549265106147,
basin_026,Río Zapaleri,1999,109.72554084597998,
basin_027,Cuencas endorreicas en Catamarca (A),1999,107.10601514502076,
basin_028,Cuencas endorreicas en Catamarca (B),1999,127.30389494769636,
basin_029,Cuencas endorreicas en Catamarca (C),1999,177.7586206896552,
basin_030,Cuencas endorreicas en Catamarca (D),1999,140.82226064048746,
basin_031,Cuencas endorreicas en Catamarca (E),1999,77.31082046883932,
basin_032,Cuencas endorreicas en Catamarca (F),1999,68.85034013605443,
basin_033,Cuencas endorreicas en Catamarca (G),1999,93.63897261171542,
basin_034,Cuencas endorreicas en Catamarca (H),1999,48.42027882774535,
basin_035,Cuencas endorreicas en Jujuy (A),1999,99.26780626780628,
basin_036,Cuencas endorreicas en Jujuy (B),1999,182.69967197181387,
basin_037,Cuencas endorreicas en Jujuy (C),1999,96.3270944741533,
basin_038,Cuencas endorreicas en Jujuy (D),1999,105.10880458124554,
basin_039,Cuencas endorreicas en Jujuy (E),1999,120.46535677352635,
basin_040,Cuencas endorreicas en Jujuy (F),1999,138.69644289917088,
basin_041,Cuencas endorreicas en Salta (A),1999,107.95991680285246,
basin_042,Cuencas endorreicas en Salta (B),1999,78.31662725122796,
basin_043,Cuencas endorreicas en Salta (C),1999,38.16735324407827,
basin_044,Cuencas endorreicas en Salta (D),1999,107.81976744186046,
basin_045,Cuencas endorreicas en Salta (E),1999,152.09722222222223,
basin_046,Cuencas endorreicas en Salta (F),1999,44.87033480838272,
basin_047,Cuencas endorreicas en Salta (G),1999,153.7351301115242,
basin_048,Cuencas endorreicas en Salta (H),1999,81.56063268892794,
basin_049,Cuencas endorreicas en Salta y Catamarca (A),1999,67.30505395875626,
basin_050,Cuencas endorreicas en Salta y Catamarca (B),1999,83.92316283225375,
basin_051,Cuencas endorreicas en Salta y Catamarca (C),1999,128.05911552346575,
basin_001,Salar de Antofalla,2000,65.27640172520024,
basin_002,Salar de Arizaro,2000,64.91284602544924,
basin_003,Laguna Blanca,2000,153.83326727716477,
basin_004,Salar Carachi Pampa,2000,103.03002846024269,
basin_005,Salar de Cauchari,2000,110.1288151081328,
basin_006,Salar del Fraile,2000,51.84110282365476,
basin_007,Laguna de Guayatayoc,2000,199.86894548183827,
basin_008,Salar del Hombre Muerto,2000,127.86466972387551,
basin_009,Salar de Incahuasi en Catamarca,2000,75.6370522958336,
basin_010,Salar de Incahuasi en Salta,2000,60.3020471686819,
basin_011,Salar de Jama,2000,93.80799438094627,
basin_012,Salar de Llullaillaco,2000,36.29991007194245,
basin_013,Salar de Olaroz,2000,117.53613140499981,
basin_014,Salar de Pastos Grandes,2000,126.29956694495283,
basin_015,Laguna Palar,2000,123.86668015375284,
basin_016,Salar de Pocitos o Quirón,2000,93.48964006450238,
basin_017,Laguna de Pozuelos,2000,247.20205184912146,
basin_018,Salar de Pozuelos,2000,100.96134368669819,
basin_019,Salar de Rincón,2000,86.40459816612733,
basin_020,Salar de Río Grande,2000,43.172942092962856,
basin_021,Salinas Grandes de Jujuy y Salta,2000,154.26539397042808,
basin_022,Laguna Socompa,2000,40.16008746691218,
basin_023,Laguna de las Salinas o Tres Quebradas,2000,81.12877702323841,
basin_024,Laguna Verde,2000,101.59309021113238,
basin_025,Laguna de Vilama,2000,119.38976592270002,
basin_026,Río Zapaleri,2000,106.53503390377787,
basin_027,Cuencas endorreicas en Catamarca (A),2000,111.87883983426205,
basin_028,Cuencas endorreicas en Catamarca (B),2000,143.96274204317825,
basin_029,Cuencas endorreicas en Catamarca (C),2000,191.9257294429709,
basin_030,Cuencas endorreicas en Catamarca (D),2000,150.27504733679103,
basin_031,Cuencas endorreicas en Catamarca (E),2000,76.18506289308174,
basin_032,Cuencas endorreicas en Catamarca (F),2000,73.25170068027211,
basin_033,Cuencas endorreicas en Catamarca (G),2000,100.2709998689556,
basin_034,Cuencas endorreicas en Catamarca (H),2000,46.70700996514654,
basin_035,Cuencas endorreicas en Jujuy (A),2000,99.0826210826211,
basin_036,Cuencas endorreicas en Jujuy (B),2000,188.96731867330817,
basin_037,Cuencas endorreicas en Jujuy (C),2000,93.27985739750446,
basin_038,Cuencas endorreicas en Jujuy (D),2000,103.86542591267003,
basin_039,Cuencas endorreicas en Jujuy (E),2000,117.85108583247154,
basin_040,Cuencas endorreicas en Jujuy (F),2000,140.36975127039312,
basin_041,Cuencas endorreicas en Salta (A),2000,108.79952458772838,
basin_042,Cuencas endorreicas en Salta (B),2000,76.7967982535929,
basin_043,Cuencas endorreicas en Salta (C),2000,37.04273944387231,
basin_044,Cuencas endorreicas en Salta (D),2000,108.72508305647841,
basin_045,Cuencas endorreicas en Salta (E),2000,153.62500000000003,
basin_046,Cuencas endorreicas en Salta (F),2000,47.3070885864574,
basin_047,Cuencas endorreicas en Salta (G),2000,156.775092936803,
basin_048,Cuencas endorreicas en Salta (H),2000,80.47539543057997,
basin_049,Cuencas endorreicas en Salta y Catamarca (A),2000,67.85489902767388,
basin_050,Cuencas endorreicas en Salta y Catamarca (B),2000,86.97855706946618,
basin_051,Cuencas endorreicas en Salta y Catamarca (C),2000,131.3026474127557,
basin_001,Salar de Antofalla,2001,69.99826110768807,
basin_002,Salar de Arizaro,2001,66.00648154169647,
basin_003,Laguna Blanca,2001,143.62164417280295,
basin_004,Salar Carachi Pampa,2001,99.1939826915258,
basin_005,Salar de Cauchari,2001,120.66719463904957,
basin_006,Salar del Fraile,2001,58.601314153791506,
basin_007,Laguna de Guayatayoc,2001,183.13223210010767,
basin_008,Salar del Hombre Muerto,2001,128.1981266465021,
basin_009,Salar de Incahuasi en Catamarca,2001,75.69160741577512,
basin_010,Salar de Incahuasi en Salta,2001,63.85478271279778,
